iter	Passed	Remaining
609	5038	3221
610	5047	3213
611	5055	3205
612	5063	3196
613	5072	3188
614	5081	3181
615	5089	3172
616	5098	3164
617	5106	3156
618	5114	3148
619	5122	3139
620	5130	3131
621	5138	3122
622	5146	3114
623	5154	3106
624	5162	3097
625	5171	3089
626	5179	3081
627	5187	3072
628	5195	3064
629	5204	3056
630	5212	3048
631	5220	3040
632	5228	3031
633	5237	3023
634	5245	3015
635	5253	3006
636	5261	2998
637	5270	2990
638	5278	2981
639	5286	2973
640	5295	2965
641	5303	2957
642	5311	2949
643	5320	2940
644	5328	2932
645	5336	2924
646	5344	2915
647	5352	2907
648	5360	2899
649	5368	2890
650	5376	2882
651	5385	2874
652	5393	2865
653	5401	2857
654	5409	2849
655	5417	2840
656	5425	2832
657	5433	2824
658	5442	2815
659	5449	2807
660	5458	2799
661	5466	2790
662	5474	2782
663	5482	2774
664	5490	2765
665	5498	2757
666	5506	2749
667	5514	2740
668	5522	2732
669	5530	2724
670	5538	2715
671	5547	2707
672	5555	2699
673	5564	2691
674	5572	2682
675	5580	2674
676	5588	2666
677	5596	2657
678	5604	2649
679	5613	2641
680	5621	2633
681	5629	2625
682	5638	2617
683	5646	2608
684	5654	2600
685	5663	2592
686	5671	2584
687	5679	2575
688	5687	2567
689	5695	2559
690	5704	2550
691	5713	2542
692	5720	2534
693	5728	2525
694	5736	2517
695	5745	2509
696	5753	2501
697	5761	2492
698	5770	2484
699	5778	2476
700	5786	2467
701	5794	2459
702	5802	2451
703	5811	2443
704	5820	2435
705	5828	2427
706	5837	2419
707	5845	2410
708	5853	2402
709	5861	2394
710	5869	2385
711	5878	2377
712	5885	2369
713	5894	2361
714	5902	2352
715	5910	2344
716	5919	2336
717	5927	2327
718	5935	2319
719	5943	2311
720	5951	2303
721	5959	2294
722	5968	2286
723	5976	2278
724	5984	2270
725	5992	2261
726	6000	2253
727	6008	2245
728	6017	2236
729	6025	2228
730	6033	2220
731	6041	2211
732	6049	2203
733	6056	2195
734	6065	2186
735	6073	2178
736	6081	2170
737	6089	2161
738	6098	2153
739	6106	2145
740	6114	2137
741	6123	2129
742	6130	2120
743	6139	2112
744	6147	2104
745	6155	2095
746	6163	2087
747	6172	2079
748	6180	2071
749	6188	2062
750	6196	2054
751	6204	2046
752	6212	2037
753	6221	2029
754	6229	2021
755	6238	2013
756	6246	2005
757	6254	1996
758	6263	1988
759	6271	1980
760	6279	1972
761	6288	1964
762	6296	1955
763	6304	1947
764	6313	1939
765	6322	1931
766	6330	1923
767	6338	1914
768	6346	1906
769	6355	1898
770	6363	1890
771	6372	1881
772	6380	1873
773	6388	1865
774	6396	1856
775	6404	1848
776	6412	1840
777	6421	1832
778	6430	1824
779	6438	1816
780	6447	1807
781	6455	1799
782	6463	1791
783	6471	1782
784	6480	1774
785	6488	1766
786	6496	1758
787	6505	1750
788	6514	1742
789	6523	1734
790	6532	1725
791	6540	1717
792	6548	1709
793	6557	1701
794	6565	1692
795	6573	1684
796	6582	1676
797	6590	1668
798	6599	1660
799	6607	1651
800	6615	1643
801	6623	1635
802	6632	1627
803	6640	1618
804	6648	1610
805	6657	1602
806	6666	1594
807	6674	1586
808	6682	1577
809	6691	1569
810	6699	1561
811	6707	1553
812	6717	1545
813	6725	1536
814	6734	1528
815	6742	1520
816	6751	1512
817	6760	1504
818	6768	1495
819	6776	1487
820	6784	1479
821	6792	1470
822	6800	1462
823	6809	1454
824	6817	1446
825	6826	1437
826	6834	1429
827	6843	1421
828	6851	1413
829	6859	1405
830	6868	1396
831	6876	1388
832	6885	1380
833	6894	1372
834	6902	1363
835	6910	1355
836	6918	1347
837	6926	1339
838	6935	1330
839	6943	1322
840	6960	1315
841	6970	1307
842	6979	1299
843	6988	1291
844	6997	1283
845	7006	1275
846	7014	1267
847	7023	1258
848	7032	1250
849	7041	1242
850	7049	1234
851	7057	1226
852	7066	1217
853	7074	1209
854	7082	1201
855	7090	1192
856	7099	1184
857	7107	1176
858	7116	1168
859	7124	1159
860	7132	1151
861	7141	1143
862	7149	1134
863	7157	1126
864	7166	1118
865	7174	1110
866	7183	1101
867	7191	1093
868	7199	1085
869	7207	1077
870	7216	1068
871	7224	1060
872	7232	1052
873	7240	1043
874	7248	1035
875	7256	1027
876	7265	1019
877	7273	1010
878	7282	1002
879	7291	994
880	7300	986
881	7308	977
882	7316	969
883	7325	961
884	7333	952
885	7341	944
886	7350	936
887	7358	928
888	7368	919
889	7376	911
890	7384	903
891	7392	895
892	7402	886
893	7410	878
894	7419	870
895	7427	862
896	7435	853
897	7443	845
898	7451	837
899	7460	828
900	7469	820
901	7477	812
902	7485	804
903	7494	795
904	7501	787
905	7510	779
906	7519	771
907	7527	762
908	7535	754
909	7544	746
910	7552	737
911	7560	729
912	7568	721
913	7577	712
914	7586	704
915	7594	696
916	7603	688
917	7611	679
918	7619	671
919	7627	663
920	7635	654
921	7644	646
922	7652	638
923	7660	630
924	7669	621
925	7677	613
926	7685	605
927	7694	596
928	7702	588
929	7710	580
930	7719	572
931	7727	563
932	7736	555
933	7744	547
934	7752	538
935	7760	530
936	7768	522
937	7777	514
938	7785	505
939	7793	497
940	7801	489
941	7809	480
942	7817	472
943	7825	464
944	7834	455
945	7842	447
946	7850	439
947	7860	431
948	7869	422
949	7878	414
950	7887	406
951	7895	398
952	7904	389
953	7913	381
954	7922	373
955	7930	365
956	7940	356
957	7948	348
958	7956	340
959	7965	331
960	7973	323
961	7982	315
962	7991	307
963	8000	298
964	8008	290
965	8016	282
966	8024	273
967	8033	265
968	8041	257
969	8050	248
970	8058	240
971	8066	232
972	8075	224
973	8083	215
974	8091	207
975	8100	199
976	8108	190
977	8117	182
978	8126	174
979	8134	166
980	8144	157
981	8152	149
982	8160	141
983	8168	132
984	8177	124
985	8186	116
986	8194	107
987	8203	99
988	8212	91
989	8220	83
990	8228	74
991	8237	66
992	8245	58
993	8254	49
994	8262	41
995	8271	33
996	8279	24
997	8287	16
998	8295	8
999	8304	0
