iter	MultiClass
441	0.02020661176
442	0.02016010167
443	0.02010035969
444	0.02004391651
445	0.01999826571
446	0.01995075137
447	0.01990726978
448	0.01986700611
449	0.01981534613
450	0.01976239858
451	0.01968628159
452	0.01964773338
453	0.01960286735
454	0.01953433394
455	0.0194786141
456	0.01942780171
457	0.01935686344
458	0.01931521777
459	0.01927708319
460	0.01923505441
461	0.01916809395
462	0.0191156392
463	0.01904912875
464	0.01902160754
465	0.01899117577
466	0.01894959144
467	0.01891514667
468	0.01888961514
469	0.01884721933
470	0.01878592197
471	0.01874875354
472	0.01869669883
473	0.01864350472
474	0.01862766813
475	0.0185905224
476	0.01855189657
477	0.01848006178
478	0.01844464676
479	0.01841141218
480	0.01838305892
481	0.01831456659
482	0.01826745299
483	0.01823772916
484	0.01819665965
485	0.01816654711
486	0.01811191489
487	0.01803560581
488	0.01797408551
489	0.01790740973
490	0.01782839502
491	0.01776533107
492	0.01771955481
493	0.0176966231
494	0.01767687552
495	0.01763201051
496	0.01757983402
497	0.01754636219
498	0.01750232547
499	0.01745265148
500	0.01742654644
501	0.01739015987
502	0.01735956048
503	0.0173047196
504	0.01726362696
505	0.01724399628
506	0.01720292686
507	0.01715556731
508	0.01712040361
509	0.01708765193
510	0.01703914783
511	0.01697514441
512	0.01694223978
513	0.01688666666
514	0.01683915497
515	0.01679972332
516	0.01676764673
517	0.01671238472
518	0.01668628653
519	0.0166401719
520	0.01658528549
521	0.01655060605
522	0.01651734531
523	0.01647509839
524	0.01643467307
525	0.01639415477
526	0.0163517981
527	0.01631222092
528	0.01627028693
529	0.01622999985
530	0.01617785294
531	0.01613141601
532	0.01611158843
533	0.01608649454
534	0.01603972021
535	0.01600487818
536	0.01597383099
537	0.01594566582
538	0.01591038304
539	0.01586215999
540	0.01581016602
541	0.01578259552
542	0.01571998411
543	0.01568643734
544	0.0156524561
545	0.01561736808
546	0.01558616594
547	0.01553656862
548	0.0154934332
549	0.0154555621
550	0.01542852774
551	0.01540424021
552	0.01534447218
553	0.01530482036
554	0.0152768586
555	0.0152204129
556	0.01518618293
557	0.01514797865
558	0.01511358939
559	0.01508571496
560	0.0150588262
561	0.01501351178
562	0.0149980631
563	0.01496984548
564	0.01493216899
565	0.01489837855
566	0.01488020659
567	0.01483813493
568	0.01481582693
569	0.01477521593
570	0.01475814001
571	0.0147278542
572	0.01470846752
573	0.01467847612
574	0.01464785364
575	0.01461295406
576	0.01458992182
577	0.01457022576
578	0.01454354416
579	0.01449713001
580	0.01447145846
581	0.01442918061
582	0.0144019917
583	0.01436309974
584	0.0143289645
585	0.01429898724
586	0.01426444895
587	0.01423102923
588	0.01420394676
589	0.01417434185
590	0.01414239736
591	0.01411645606
592	0.01409553873
593	0.01407170308
594	0.01406100402
595	0.01402749421
596	0.01400281824
597	0.0139641423
598	0.01393408269
599	0.01391795799
600	0.01389567221
601	0.01386551827
602	0.01383196898
603	0.01379183554
604	0.01376937923
605	0.01374481858
606	0.01371933648
607	0.01370315177
608	0.01367516962
609	0.01363560757
610	0.01359694608
611	0.01358921952
612	0.01356638
613	0.01354423235
614	0.0135014538
615	0.01348013628
616	0.01343533584
617	0.01341030077
618	0.01339177692
619	0.01337194661
620	0.01333525268
621	0.01330476045
622	0.01327715841
623	0.0132567293
624	0.0132264344
625	0.01320967767
626	0.01318100613
627	0.01314709116
628	0.01313217132
629	0.01310402409
630	0.01308653016
631	0.01306215108
632	0.01304228212
633	0.01300867294
634	0.01297950054
635	0.01296292439
636	0.01293788082
637	0.01290992327
638	0.01288350793
639	0.01285377128
640	0.01282294165
641	0.01280846391
642	0.01278258563
643	0.01275744099
644	0.01272216745
645	0.0126878199
646	0.01266255031
647	0.0126377776
648	0.01261130365
649	0.01258464472
650	0.01255006834
651	0.0125170298
652	0.01248584596
653	0.0124520107
654	0.01243722793
655	0.01241989857
656	0.01239687373
657	0.01237670089
658	0.01235534707
659	0.01233415038
660	0.01230733963
661	0.01227247629
662	0.01224118424
663	0.01222632836
664	0.01220986448
665	0.01217938425
666	0.01215980066
667	0.01213725602
668	0.01210509756
669	0.01208154966
670	0.0120554768
671	0.01202896071
672	0.01201471869
673	0.01198666746
674	0.01196362305
675	0.01194423929
676	0.01192219166
677	0.01190033073
678	0.01188226567
679	0.01185576023
680	0.01184438803
681	0.01181758346
682	0.0117959157
683	0.01176683268
684	0.01174503398
685	0.01171542137
686	0.01169155231
687	0.0116720374
688	0.01165351078
689	0.01163020804
690	0.01160661205
691	0.011555592
692	0.0115414555
693	0.01152757037
694	0.01151375713
695	0.01147915588
696	0.01146090127
697	0.01143257679
698	0.0114112678
699	0.01139193254
700	0.01138150229
701	0.01136229358
702	0.01134183638
703	0.01133362878
704	0.01131442795
705	0.01129929153
706	0.01128284054
707	0.011270456
708	0.01124922092
709	0.01123044364
710	0.01120736631
711	0.01119016959
712	0.01117131197
713	0.01115762466
714	0.0111270177
715	0.01110701521
716	0.01108224926
717	0.0110558544
718	0.01103965211
719	0.01101455703
720	0.01099612265
721	0.01097820058
722	0.01095992317
723	0.01093507915
724	0.01092056422
725	0.0109093876
726	0.01089548304
727	0.01086682866
728	0.01084444626
729	0.01082470746
730	0.01079632016
731	0.0107770206
732	0.0107610625
733	0.0107518705
734	0.01073623623
735	0.01071521243
736	0.01069867924
737	0.01068593028
738	0.01067521066
739	0.01065283419
740	0.01063477621
741	0.01061394605
742	0.01059002456
743	0.01057640476
744	0.01056057176
745	0.01054311779
746	0.01052688941
747	0.01050948218
748	0.01049274947
749	0.01047318391
750	0.01045677846
751	0.01042881595
752	0.01041776035
753	0.01039927015
754	0.01037988637
755	0.01036012101
756	0.01034373117
757	0.01032875446
758	0.0103191691
759	0.01030690933
760	0.01028456962
761	0.01026394525
762	0.01024838347
763	0.01023354805
764	0.01021159832
765	0.01019031343
766	0.01016853298
767	0.01015766751
768	0.01014519939
769	0.01013393231
770	0.01012411653
771	0.01010969318
772	0.01008929211
773	0.01007874937
774	0.01006379012
775	0.01005034495
776	0.01002973654
777	0.01001447032
778	0.01000179197
779	0.009990100353
780	0.009972037725
781	0.009959344971
782	0.009944167109
783	0.00992335145
784	0.009910089153
785	0.009890998224
786	0.009874978069
787	0.009862491603
788	0.009842809752
789	0.009825466688
790	0.009809718847
791	0.009789667247
792	0.009769856042
793	0.009753023976
794	0.009737887783
795	0.009722807939
796	0.009707246817
797	0.009689285646
798	0.009671600327
799	0.009662203583
800	0.009651288925
801	0.009635677223
802	0.009616465093
803	0.009604932118
804	0.009589273621
805	0.009575303077
806	0.009563976607
807	0.009548110745
808	0.009534477738
809	0.009516334674
810	0.009504684822
811	0.009494187572
812	0.009482494975
813	0.00946474097
814	0.009454543884
815	0.009441917728
816	0.00942341023
817	0.009407496004
818	0.009399717256
819	0.009384908893
820	0.009374570716
821	0.009356710181
822	0.009348080731
823	0.009335414551
824	0.009318445357
825	0.009305197322
826	0.009293719577
827	0.009278363896
828	0.009267825372
829	0.009256367066
830	0.009242431723
831	0.009229853291
832	0.009214511134
833	0.009201300777
834	0.009189051947
835	0.009183594557
836	0.009168857716
837	0.009159252163
838	0.009137010065
839	0.009128660024
840	0.009118324984
841	0.009105838316
842	0.009087308938
843	0.009073906671
844	0.009066326144
845	0.009054513862
846	0.009043815393
847	0.009028298752
848	0.00901491557
849	0.008997375496
850	0.008981311485
851	0.008967288382
852	0.008957050276
853	0.00894235138
854	0.008928890954
855	0.008918333029
856	0.008903944478
857	0.008894539859
858	0.008879344099
859	0.008868830796
860	0.008859392931
861	0.008839847796
862	0.008830964408
863	0.008822050527
864	0.008814024352
865	0.008802419045
866	0.008788198312
867	0.008780538929
868	0.008757044375
869	0.008738786871
870	0.008731747726
871	0.008720024558
872	0.008709971884
873	0.008698132081
874	0.008681125969
875	0.008670001878
876	0.00865680284
877	0.008646327584
878	0.008635436988
879	0.008621103254
880	0.008612847044
